"filename", "language", "Markdown", "Python", "JSON", "pip requirements", "Shell Script", "JavaScript", "JSON with Comments", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/vdemirev/Desktop/Biufet_No9/README.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 65
"/Users/vdemirev/Desktop/Biufet_No9/backend/accounts/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/accounts/admin.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/vdemirev/Desktop/Biufet_No9/backend/accounts/apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/vdemirev/Desktop/Biufet_No9/backend/accounts/management/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/accounts/management/commands/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/accounts/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/accounts/models.py", "Python", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 99
"/Users/vdemirev/Desktop/Biufet_No9/backend/accounts/serializer.py", "Python", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 128
"/Users/vdemirev/Desktop/Biufet_No9/backend/accounts/tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/vdemirev/Desktop/Biufet_No9/backend/accounts/urls.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/Users/vdemirev/Desktop/Biufet_No9/backend/accounts/views.py", "Python", 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 13, 41, 272
"/Users/vdemirev/Desktop/Biufet_No9/backend/add_foreign_key.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/vdemirev/Desktop/Biufet_No9/backend/backend/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/backend/asgi.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/vdemirev/Desktop/Biufet_No9/backend/backend/settings.py", "Python", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 16, 38, 233
"/Users/vdemirev/Desktop/Biufet_No9/backend/backend/urls.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/vdemirev/Desktop/Biufet_No9/backend/backend/wsgi.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/vdemirev/Desktop/Biufet_No9/backend/check_schema.py", "Python", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 60
"/Users/vdemirev/Desktop/Biufet_No9/backend/companies/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/companies/admin.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/vdemirev/Desktop/Biufet_No9/backend/companies/apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/vdemirev/Desktop/Biufet_No9/backend/companies/management/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/companies/management/commands/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/companies/management/commands/cleanup_companies.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 59
"/Users/vdemirev/Desktop/Biufet_No9/backend/companies/management/commands/create_active_index.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/vdemirev/Desktop/Biufet_No9/backend/companies/management/commands/import_companies.py", "Python", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"/Users/vdemirev/Desktop/Biufet_No9/backend/companies/management/commands/show_sample_data.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 33
"/Users/vdemirev/Desktop/Biufet_No9/backend/companies/management/commands/update_stock_data.py", "Python", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 106
"/Users/vdemirev/Desktop/Biufet_No9/backend/companies/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/companies/models.py", "Python", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 56
